"date","Open","High","Low","Close","Volume","Adjusted"
2016-03-21,165.050003,165.309998,164.410004,164.839996,2095100,142.371017
2016-03-22,164.5,165.5,164.389999,164.910004,2146300,142.431564
2016-03-23,164.600006,164.990005,163.460007,164.270004,2305000,141.878738
2016-03-24,163.679993,164.539993,163.050003,164.460007,1868800,142.042877
2016-03-28,164.929993,166.649994,164.580002,166.279999,2336700,143.614777
2016-03-29,164.929993,164.990005,163.119995,164.389999,2525000,141.982361
2016-03-30,165.369995,167.220001,165.160004,166.75,2195300,144.020706
2016-03-31,166.75,167.5,166.5,166.630005,1777200,143.917099
2016-04-01,165.630005,167.740005,164.789993,167.529999,2011600,144.694427
2016-04-04,167.110001,167.490005,165.919998,166.399994,2022800,143.718414
2016-04-05,165.179993,166.550003,164.649994,165.809998,1617400,143.208832
2016-04-06,165.339996,167.080002,164.839996,166.809998,2092200,144.07251
2016-04-07,165.880005,167.229996,165.25,167.160004,2728300,144.374878
2016-04-08,167.710007,167.990005,166.100006,166.630005,1729300,143.917099
2016-04-11,167.119995,167.960007,166.570007,166.589996,1521100,143.882538
2016-04-12,167.009995,168.399994,166.929993,168.029999,1636500,145.126266
2016-04-13,168.470001,168.899994,167.710007,168.589996,1545900,145.609894
2016-04-14,169,169,167.880005,168.160004,1213400,145.238541
2016-04-15,168.320007,169,168.199997,168.779999,1417000,145.774002
2016-04-18,168.470001,169.869995,168.389999,169.550003,1146600,146.439056
2016-04-19,169.919998,170.770004,169.070007,169.649994,1849100,146.525406
2016-04-20,170.139999,170.449997,168.619995,168.940002,1439700,145.912231
2016-04-21,168.970001,169.699997,168.410004,168.660004,1635000,145.670349
2016-04-22,169.089996,169.759995,167.850006,168.660004,1802300,145.670349
2016-04-25,168,168.509995,166.639999,168.380005,2378300,145.428528
2016-04-26,167.5,167.789993,164.970001,166.179993,3192100,143.528381
2016-04-27,166.990005,168.380005,166.100006,167.759995,2227700,144.893021
2016-04-28,166.850006,168.770004,166.199997,167,1654700,144.236649
2016-04-29,166.979996,167.779999,166.5,167.380005,1961200,144.564835
2016-05-02,167.300003,168.5,166.940002,168.339996,1700300,145.394012
2016-05-03,167.389999,168.070007,166.660004,167.970001,1922200,145.074448
2016-05-04,166.369995,167.699997,166.289993,167.160004,2118100,144.374878
2016-05-05,167.460007,168.330002,167.190002,167.770004,1680200,144.901657
2016-05-06,167.839996,169.050003,167,168.889999,1630200,145.869019
2016-05-09,168.589996,169.050003,167.690002,168.520004,1301300,145.549454
2016-05-10,169.229996,170.389999,169,170.259995,1732600,147.052231
2016-05-11,170.199997,171.270004,169.570007,169.770004,1786400,146.629089
2016-05-12,169.860001,170.630005,168.759995,170.149994,1741900,146.95726
2016-05-13,170.050003,170.380005,167.820007,168.320007,1875900,145.376678
2016-05-16,168.5,169.899994,168.429993,169.550003,1826200,146.439056
2016-05-17,169.570007,169.940002,167.089996,167.809998,2126000,144.936218
2016-05-18,166.5,167.929993,165.759995,166.820007,1624400,145.040573
2016-05-19,165.369995,166.059998,163.169998,165.110001,1657300,143.553818
2016-05-20,165.25,166.470001,164.929993,165.009995,1746500,143.466858
2016-05-23,165.279999,166.559998,164.520004,166.110001,1653500,144.423233
2016-05-24,167.160004,168.789993,166.699997,168.630005,1627400,146.614243
2016-05-25,169,170.360001,168.75,169.990005,1860000,147.796661
2016-05-26,170.009995,170.770004,168.529999,168.910004,1563900,146.857666
2016-05-27,168.910004,169.029999,168.279999,168.889999,1099100,146.840302
2016-05-31,169.320007,169.75,167.660004,168.320007,2169600,146.344696
2016-06-01,167.779999,168.929993,167.089996,168.690002,1228200,146.666458
2016-06-02,168.710007,168.710007,167.270004,168.039993,1980500,146.101288
2016-06-03,168.050003,168.660004,167.509995,168.380005,1433500,146.396881
2016-06-06,168.850006,170.589996,168.589996,170.080002,1510700,147.874939
2016-06-07,170.25,171.490005,170.220001,170.910004,1723100,148.596603
2016-06-08,170.949997,171.929993,170.649994,171.419998,1684900,149.039978
2016-06-09,170.5,171.470001,169.399994,170.130005,2208800,147.918427
2016-06-10,169.270004,169.300003,167.880005,168.559998,2123400,146.553406
2016-06-13,168.449997,168.639999,167.110001,167.130005,2129900,145.310089
2016-06-14,167.289993,167.809998,166.600006,167.610001,2021400,145.727417
2016-06-15,167.949997,168.860001,167.470001,167.800003,1694200,145.892609
2016-06-16,167.350006,170.389999,166.619995,169.929993,2632100,147.744522
2016-06-17,169.990005,170,168.419998,168.940002,3448000,146.88382
2016-06-20,170.899994,172.800003,170.529999,171.229996,2162800,148.874832
2016-06-21,171.179993,171.970001,171.059998,171.369995,1889100,148.996552
2016-06-22,171.830002,172.600006,170.990005,171.229996,1369600,148.874832
2016-06-23,172.710007,174.149994,172.460007,174.110001,2021600,151.378815
2016-06-24,168.869995,171.539993,168.399994,169.119995,4567500,147.040314
2016-06-27,167.779999,167.830002,165.160004,167.190002,2544100,145.362289
2016-06-28,168.139999,169.669998,167.960007,169.589996,2237300,147.448914
2016-06-29,171.020004,171.850006,170.360001,171.520004,1894100,149.126953
2016-06-30,172.059998,175.139999,172.059998,175.119995,2449400,152.256943
2016-07-01,175.139999,176.080002,174.910004,175.539993,1930900,152.622116
2016-07-05,174.860001,175.779999,173.509995,175.630005,2353600,152.700363
2016-07-06,175.199997,175.470001,174.059998,175.160004,2383300,152.291733
2016-07-07,175.089996,175.639999,174.130005,174.869995,1842300,152.039597
2016-07-08,175.869995,177.789993,175.820007,177.119995,2726600,153.995819
2016-07-11,177.410004,178.470001,177.190002,178.009995,1659500,154.769638
2016-07-12,178.75,179.630005,178.029999,179.160004,1912900,155.769501
2016-07-13,179.220001,179.669998,178.690002,179.210007,1491500,155.812943
2016-07-14,180.149994,181.320007,179.880005,180.899994,1904300,157.282333
2016-07-15,181.5,181.839996,180.559998,181.399994,2475200,157.717041
2016-07-18,181.440002,181.699997,180.75,181.110001,1224400,157.46492
2016-07-19,181.110001,181.649994,180.289993,181.240005,1051300,157.577957
2016-07-20,181.729996,182.270004,181.320007,181.419998,1413300,157.734406
2016-07-21,181.289993,181.559998,179.699997,180.259995,1870800,156.725876
2016-07-22,180.419998,180.529999,179.360001,180.440002,1205600,156.88237
2016-07-25,180.199997,180.419998,178.919998,179.630005,1937000,156.178146
2016-07-26,177.169998,178.990005,176.139999,177.660004,3421600,154.465332
2016-07-27,177.410004,178.940002,177.410004,178.270004,2359700,154.995712
2016-07-28,177.649994,178.369995,177.029999,177.979996,1799500,154.743561
2016-07-29,178.110001,178.820007,177.619995,178.360001,1621900,155.073929
2016-08-01,177.080002,178.539993,177.080002,178.289993,1598400,155.013092
2016-08-02,178.580002,178.619995,177.240005,178.360001,2115100,155.073929
2016-08-03,178.720001,179.130005,177.970001,178.380005,1419300,155.091339
2016-08-04,178.960007,179.419998,177.639999,177.809998,1071800,154.595764
2016-08-05,178.25,179.009995,177.369995,178.570007,1799500,155.2565
2016-08-08,178.899994,179.020004,178.270004,178.580002,1327700,155.265244
2016-08-09,178.369995,178.899994,177.940002,178.389999,1098900,155.099991
2016-08-10,178.119995,178.850006,177.850006,178.820007,1226300,155.473907
2016-08-11,179.080002,181.100006,178.880005,181,2043400,157.369247
2016-08-12,181.470001,181.470001,179.899994,180.270004,1232900,156.734589
2016-08-15,181,181.389999,180.460007,180.559998,1268200,156.986694
2016-08-16,180.119995,180.330002,179.210007,179.25,1363600,155.847717
2016-08-17,178.669998,180.089996,178.320007,179.869995,1358500,157.361221
2016-08-18,179.699997,179.699997,178.580002,179.179993,1087900,156.757584
2016-08-19,178.660004,179.779999,178.080002,179.610001,1305300,157.133774
2016-08-22,179.179993,179.589996,178.369995,179.070007,1336400,156.661377
2016-08-23,179.610001,180.539993,179.279999,179.770004,1195800,157.273758
2016-08-24,179.410004,179.960007,179.009995,179.410004,1137100,156.958801
2016-08-25,179.089996,180.320007,179.050003,179.580002,840300,157.107544
2016-08-26,180.190002,181.25,178.919998,179.410004,1324700,156.958801
2016-08-29,179.860001,180.699997,179.279999,180.5,1051800,157.91243
2016-08-30,180.720001,181.020004,179.589996,180.149994,1039800,157.606201
2016-08-31,179.490005,179.770004,178.580002,179.240005,1636000,156.810089
2016-09-01,179.309998,180.169998,178.800003,179.979996,1095300,157.457458
2016-09-02,180.529999,181.490005,180.089996,180.809998,1319000,158.183624
2016-09-06,180.559998,181.279999,179.880005,180.460007,1328100,157.877441
2016-09-07,180.039993,180.539993,179.539993,179.75,1133200,157.256271
2016-09-08,179.190002,180.210007,178.940002,180.100006,1424000,157.562469
2016-09-09,178.889999,179,175.639999,175.639999,2083300,153.660583
2016-09-12,175,178.399994,174.690002,178.100006,1913300,155.812775
2016-09-13,176.830002,177.600006,175.949997,176.070007,1864600,154.036804
2016-09-14,175.960007,177.350006,175.199997,175.619995,1864800,153.643082
2016-09-15,175.529999,177,175.360001,176.589996,1663800,154.49173
2016-09-16,175.880005,175.949997,174.389999,175.059998,3358800,153.153152
